"","ID","topic","Nationality","condition","block_order","gender","media_time","rt_response","rt_text","news_paper","competence","threat","rating","type"
"55","12","acid rain","Danish",0,1,"Female",4,6.84794902801514,111.936094999313,"EB",1,"threat",3,"contrast"
"56","12","acid rain","Danish",0,1,"Female",4,6.84794902801514,111.936094999313,"MX",2," safe",1,"contrast"
"57","12","bacteria","Danish",1,1,"Female",4,5.60643410682678,18.6360461711884,"Politiken",4," safe",2,"contrast"
"58","12","bacteria","Danish",1,1,"Female",4,5.60643410682678,18.6360461711884,"WA",3,"threat",4,"contrast"
"59","12","blue_eyes","Danish",NA,1,"Female",4,2.22105312347412,14.8710041046143,"EB",1,"threat",3,"person"
"60","12","corruption","Danish",0,1,"Female",4,5.96572399139404,16.6968600749969,"Politiken",4," safe",2,"contrast"
"61","12","corruption","Danish",0,1,"Female",4,5.96572399139404,16.6968600749969,"MX",2,"threat",1,"contrast"
"62","12","countryside","Danish",NA,1,"Female",4,2.42829489707947,31.2582218647003,"EB",1," safe",3,"person"
"63","12","hayfever","Danish",NA,1,"Female",4,8.42361807823181,21.4547400474548,"WA",3," safe",4,"person"
"64","12","infertility","Danish",NA,1,"Female",4,1.96052694320679,18.4408581256866,"Politiken",4,"threat",2,"person"
"65","12","mafia","Danish",0,1,"Female",4,6.78512907028198,19.4857668876648,"EB",1,"threat",3,"contrast"
"66","12","mafia","Danish",0,1,"Female",4,6.78512907028198,19.4857668876648,"Politiken",4," safe",2,"contrast"
"67","12","pets","Danish",NA,1,"Female",4,1.98678016662598,16.8848719596863,"EB",1,"threat",3,"person"
"68","12","pollution","Danish",1,1,"Female",4,2.86437296867371,18.3350992202759,"MX",2,"threat",1,"contrast"
"69","12","pollution","Danish",1,1,"Female",4,2.86437296867371,18.3350992202759,"Politiken",4," safe",2,"contrast"
"70","12","sleep","Danish",NA,1,"Female",4,3.46595406532288,19.246563911438,"MX",2," safe",1,"person"
"71","12","volcano","Danish",1,1,"Female",4,3.01661801338196,14.1923689842224,"Politiken",4," safe",2,"contrast"
"72","12","volcano","Danish",1,1,"Female",4,3.01661801338196,14.1923689842224,"WA",3,"threat",4,"contrast"
"73","13","acid rain","Danish",0,1,"Female",3,3.71310615539551,30.0730390548706,"MX",1,"threat",1,"contrast"
"74","13","acid rain","Danish",0,1,"Female",3,3.71310615539551,30.0730390548706,"Politiken",5," safe",2,"contrast"
"75","13","bacteria","Danish",1,1,"Female",3,5.27728009223938,38.7012610435486,"WA",0," safe",4,"contrast"
"76","13","bacteria","Danish",1,1,"Female",3,5.27728009223938,38.7012610435486,"Politiken",5,"threat",2,"contrast"
"77","13","blue_eyes","Danish",NA,1,"Female",3,2.15767121315002,24.4290339946747,"Politiken",5,"threat",2,"person"
"78","13","corruption","Danish",0,1,"Female",3,5.15972185134888,26.2319779396057,"WA",0,"threat",4,"contrast"
"79","13","corruption","Danish",0,1,"Female",3,5.15972185134888,26.2319779396057,"EB",3," safe",3,"contrast"
"80","13","countryside","Danish",NA,1,"Female",3,2.1443829536438,38.808137178421,"WA",0,"threat",4,"person"
"81","13","hayfever","Danish",NA,1,"Female",3,5.66245102882385,42.755567073822,"WA",0," safe",4,"person"
"82","13","infertility","Danish",NA,1,"Female",3,3.42831015586853,36.958909034729,"EB",3," safe",3,"person"
"83","13","mafia","Danish",0,1,"Female",3,4.76046705245972,33.9305789470673,"EB",3," safe",3,"contrast"
"84","13","mafia","Danish",0,1,"Female",3,4.76046705245972,33.9305789470673,"MX",1,"threat",1,"contrast"
"85","13","pets","Danish",NA,1,"Female",3,1.75172996520996,35.4262189865112,"MX",1,"threat",1,"person"
"86","13","pollution","Danish",1,1,"Female",3,3.07956790924072,27.7802548408508,"Politiken",5,"threat",2,"contrast"
"87","13","pollution","Danish",1,1,"Female",3,3.07956790924072,27.7802548408508,"EB",3," safe",3,"contrast"
"88","13","sleep","Danish",NA,1,"Female",3,1.88349604606628,29.7742629051208,"MX",1,"threat",1,"person"
"89","13","volcano","Danish",1,1,"Female",3,1.47966194152832,25.8718538284302,"Politiken",5," safe",2,"contrast"
"90","13","volcano","Danish",1,1,"Female",3,1.47966194152832,25.8718538284302,"EB",3,"threat",3,"contrast"
"91","14","acid rain","China",0,0,"Female",2,2.43940091133118,17.6129078865051,"WA",4," safe",4,"contrast"
"92","14","acid rain","China",0,0,"Female",2,2.43940091133118,17.6129078865051,"Politiken",5,"threat",2,"contrast"
"93","14","bacteria","China",1,0,"Female",2,2.50687789916992,23.9802100658417,"EB",1," safe",3,"contrast"
"94","14","bacteria","China",1,0,"Female",2,2.50687789916992,23.9802100658417,"Politiken",5,"threat",2,"contrast"
"95","14","blue_eyes","China",NA,0,"Female",2,36.203104019165,18.7157649993896,"WA",4," safe",4,"person"
"96","14","corruption","China",1,0,"Female",2,1.61823320388794,12.3984079360962,"Politiken",5,"threat",2,"contrast"
"97","14","corruption","China",1,0,"Female",2,1.61823320388794,12.3984079360962,"EB",1," safe",3,"contrast"
"98","14","countryside","China",NA,0,"Female",2,3.03389000892639,13.42666888237,"MX",2," safe",1,"person"
"99","14","hayfever","China",NA,0,"Female",2,16.8473899364471,20.6301999092102,"MX",2," safe",1,"person"
"100","14","infertility","China",NA,0,"Female",2,3.37122392654419,19.0253090858459,"MX",2,"threat",1,"person"
"101","14","mafia","China",1,0,"Female",2,4.02979779243469,14.3265280723572,"Politiken",5,"threat",2,"contrast"
"102","14","mafia","China",1,0,"Female",2,4.02979779243469,14.3265280723572,"EB",1," safe",3,"contrast"
"103","14","pets","China",NA,0,"Female",2,3.04138803482056,11.6237292289734,"Politiken",5,"threat",2,"person"
"104","14","pollution","China",0,0,"Female",2,5.82097816467285,21.8631069660187,"WA",4,"threat",4,"contrast"
"105","14","pollution","China",0,0,"Female",2,5.82097816467285,21.8631069660187,"Politiken",5," safe",2,"contrast"
"106","14","sleep","China",NA,0,"Female",2,5.3564600944519,19.5843029022217,"WA",4," safe",4,"person"
"107","14","volcano","China",0,0,"Female",2,1.55967688560486,35.0031890869141,"MX",2," safe",1,"contrast"
"108","14","volcano","China",0,0,"Female",2,1.55967688560486,35.0031890869141,"EB",1,"threat",3,"contrast"
"109","15","acid rain","Latvian",1,0,"Female",1,4.70810079574585,25.4035530090332,"EB",0," safe",3,"contrast"
"110","15","acid rain","Latvian",1,0,"Female",1,4.70810079574585,25.4035530090332,"Politiken",0,"threat",2,"contrast"
"111","15","bacteria","Latvian",0,0,"Female",1,5.87486505508423,31.503114938736,"EB",0," safe",3,"contrast"
"112","15","bacteria","Latvian",0,0,"Female",1,5.87486505508423,31.503114938736,"MX",0,"threat",1,"contrast"
"113","15","blue_eyes","Latvian",NA,0,"Female",1,9.80657601356506,31.6399340629578,"EB",0," safe",3,"person"
"114","15","corruption","Latvian",1,0,"Female",1,0.889361143112183,8.48818302154541,"Politiken",0," safe",2,"contrast"
"115","15","corruption","Latvian",1,0,"Female",1,0.889361143112183,8.48818302154541,"Politiken",0,"threat",2,"contrast"
"116","15","countryside","Latvian",NA,0,"Female",1,12.2727999687195,25.470803976059,"MX",0," safe",1,"person"
"117","15","hayfever","Latvian",NA,0,"Female",1,6.94846796989441,14.583624124527,"MX",0," safe",1,"person"
"118","15","infertility","Latvian",NA,0,"Female",1,5.19147109985352,29.3428790569305,"MX",0,"threat",1,"person"
"119","15","mafia","Latvian",0,0,"Female",1,5.30911588668823,24.3703148365021,"Politiken",0,"threat",2,"contrast"
"120","15","mafia","Latvian",0,0,"Female",1,5.30911588668823,24.3703148365021,"Politiken",0," safe",2,"contrast"
